taille|K|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)
Ntest = 10 | Mode = 3 | N_thread = 128
1000000|1|199.626|60.1125|5.00938
1000000|2|254.381|47.1734|7.86223
1000000|3|285.456|42.038|10.5095
1000000|4|342.291|35.0579|11.686
1000000|5|378.762|31.6822|13.2009
1000000|6|423.949|28.3053|14.1527
1000000|7|476.701|25.173|14.6843
1000000|8|517.107|23.206|15.4707
1000000|9|561.286|21.3795|16.0346
1000000|10|605.178|19.8289|16.5241
1000000|11|650.685|18.4421|16.9053
1000000|12|708.541|16.9362|16.9362
1000000|13|758.902|15.8123|17.13
1000000|14|784.106|15.3041|17.8547
1000000|15|840.138|14.2834|17.8542
1000000|16|879.53|13.6437|18.1915
1000000|17|929.309|12.9128|18.2932
1000000|18|982.765|12.2104|18.3157
1000000|19|1029.62|11.6548|18.4535
1000000|20|1083.37|11.0766|18.461
1000000|21|1128.99|10.629|18.6007
1000000|22|1200.11|9.99907|18.3316
1000000|23|1215.71|9.87081|18.9191
1000000|24|1268.79|9.45783|18.9157
1000000|25|1304.72|9.19735|19.1611
1000000|26|1353.12|8.86839|19.2149
1000000|27|1398.76|8.57902|19.3028
1000000|28|1437.51|8.34777|19.4781
1000000|29|1505.83|7.96901|19.2584
1000000|30|1538.16|7.80151|19.5038
1000000|31|1587.92|7.55707|19.5224
1000000|32|1645.44|7.29288|19.4477
1000000|33|1690.24|7.09958|19.5239
1000000|34|1733.94|6.92066|19.6085
1000000|35|1768.55|6.78523|19.7903
1000000|36|1816.91|6.60464|19.8139
1000000|37|1873.56|6.40492|19.7485
1000000|38|1911.37|6.27821|19.881
1000000|39|1964.65|6.10795|19.8508
1000000|40|1987.26|6.03845|20.1282
1000000|41|2045.58|5.8663|20.0432
1000000|42|2083.31|5.76007|20.1602
1000000|43|2146.71|5.58995|20.0306
1000000|44|2181.62|5.50049|20.1685
1000000|45|2234.92|5.36932|20.1349
1000000|46|2281.7|5.25923|20.1604
1000000|47|2321.29|5.16955|20.2474
1000000|48|2375.27|5.05205|20.2082
1000000|49|2417.03|4.96477|20.2728
1000000|50|2455.56|4.88687|20.3619
1000000|51|2506.96|4.78668|20.3434
1000000|52|2558.8|4.68969|20.322
1000000|53|2592.97|4.62789|20.4399
1000000|54|2658.05|4.51458|20.3156
1000000|55|2712.73|4.42359|20.2748
1000000|56|2753.57|4.35798|20.3372
1000000|57|2785.5|4.30802|20.4631
1000000|58|2833.37|4.23524|20.4703
1000000|59|2868.2|4.1838|20.5704
1000000|60|2921.83|4.10701|20.5351
1000000|61|2975.52|4.0329|20.5006
1000000|62|3013.09|3.98262|20.5769
1000000|63|3057.2|3.92516|20.6071
1000000|64|3103.12|3.86708|20.6244
1000000|65|3149.94|3.80959|20.6353
1000000|66|3198.96|3.75122|20.6317
1000000|67|3241.42|3.70208|20.67
1000000|68|3293.35|3.64371|20.6477
1000000|69|3330|3.6036|20.7207
1000000|70|3373.51|3.55713|20.7499
1000000|71|3439.85|3.48852|20.6404
1000000|72|3479.64|3.44864|20.6918
1000000|73|3539.16|3.39063|20.6264
1000000|74|3559.28|3.37147|20.7907
1000000|75|3617.97|3.31678|20.7299
1000000|76|3674.95|3.26535|20.6806
1000000|77|3715.18|3.22999|20.7258
1000000|78|3781.57|3.17328|20.6263
1000000|79|3785.25|3.1702|20.8705
1000000|80|3848.5|3.1181|20.7873
1000000|81|3900.81|3.07628|20.7649
1000000|82|3924.95|3.05736|20.892
1000000|83|3985.77|3.01071|20.8241
1000000|84|4027.35|2.97962|20.8574
1000000|85|4074.56|2.9451|20.8611
1000000|86|4100.83|2.92624|20.9714
1000000|87|4167.24|2.87961|20.8771
1000000|88|4193.13|2.86183|20.9867
1000000|89|4280.83|2.8032|20.7904
1000000|90|4308.87|2.78495|20.8872
1000000|91|4360.42|2.75203|20.8695
1000000|92|4425.6|2.7115|20.7881
1000000|93|4448.23|2.6977|20.9072
1000000|94|4477.57|2.68003|20.9935
1000000|95|4550.54|2.63705|20.8767
1000000|96|4587.81|2.61563|20.925
1000000|97|4624.51|2.59487|20.9752
1000000|98|4684.76|2.5615|20.9189
1000000|99|4728.35|2.53788|20.9375
10000000|1|1661.49|72.2241|6.01868
10000000|2|2101.56|57.1005|9.51675
10000000|3|2522.65|47.569|11.8922
10000000|4|2961.09|40.5256|13.5085
10000000|5|3426.68|35.0193|14.5914
10000000|6|3871.51|30.9957|15.4978
10000000|7|4318.61|27.7867|16.2089
10000000|8|4788.33|25.0609|16.7073
10000000|9|5253.87|22.8403|17.1302
10000000|10|5669.62|21.1655|17.6379
10000000|11|6132.39|19.5682|17.9375
10000000|12|6578.33|18.2417|18.2417
10000000|13|7018.65|17.0973|18.5221
10000000|14|7504.72|15.9899|18.6549
10000000|15|7947|15.1|18.875
10000000|16|8411.31|14.2665|19.022
10000000|17|8918.38|13.4554|19.0618
10000000|18|9374.88|12.8002|19.2002
10000000|19|9790.18|12.2572|19.4072
10000000|20|10247.2|11.7106|19.5176
10000000|21|10725.3|11.1885|19.5798
10000000|22|11131.9|10.7799|19.7631
10000000|23|11594.2|10.35|19.8375
10000000|24|12040.9|9.96607|19.9321
10000000|25|12512.4|9.5905|19.9802
10000000|26|12939.1|9.27423|20.0942
10000000|27|13389.9|8.96201|20.1645
10000000|28|13855.7|8.66067|20.2082
10000000|29|14325.7|8.37658|20.2434
