taille|J|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)|computeIntensity(OPS/Byte)
Operator = 2 | Ntest = 10 | Mode = 2 | N_thread = 128
1000000|1|179.894|66.7058|5.55882|0.0833333
1000000|2|160.758|74.6462|6.22052|0.0833333
1000000|3|172.595|69.5268|5.7939|0.0833333
1000000|4|177.984|67.4218|5.61848|0.0833333
1000000|5|189.581|63.2976|5.2748|0.0833333
1000000|6|213.312|56.2556|4.68797|0.0833333
1000000|7|257.722|46.5619|3.88016|0.0833333
1000000|8|303.382|39.554|3.29617|0.0833333
1000000|9|469.603|25.5535|2.12946|0.0833333
1000000|10|547.216|21.9292|1.82743|0.0833333
1000000|11|596.054|20.1324|1.6777|0.0833333
1000000|12|605.331|19.8239|1.65199|0.0833333
1000000|13|663.072|18.0976|1.50813|0.0833333
1000000|14|673.853|17.808|1.484|0.0833333
1000000|15|669.757|17.917|1.49308|0.0833333
1000000|16|634.282|18.919|1.57659|0.0833333
1000000|17|675.75|17.758|1.47984|0.0833333
1000000|18|697.888|17.1947|1.43289|0.0833333
1000000|19|730.931|16.4174|1.36812|0.0833333
1000000|20|734.771|16.3316|1.36097|0.0833333
1000000|21|772.95|15.5249|1.29374|0.0833333
1000000|22|750.115|15.9975|1.33313|0.0833333
1000000|23|770.013|15.5842|1.29868|0.0833333
1000000|24|740.89|16.1967|1.34973|0.0833333
1000000|25|797.939|15.0387|1.25323|0.0833333
1000000|26|780.365|15.3774|1.28145|0.0833333
1000000|27|823.642|14.5694|1.21412|0.0833333
1000000|28|805.267|14.9019|1.24182|0.0833333
1000000|29|867.92|13.8262|1.15218|0.0833333
1000000|30|844.131|14.2158|1.18465|0.0833333
1000000|31|870.294|13.7884|1.14904|0.0833333
1000000|32|832.912|14.4073|1.20061|0.0833333
1000000|33|920.883|13.031|1.08591|0.0833333
1000000|34|930.714|12.8933|1.07444|0.0833333
1000000|35|947.658|12.6628|1.05523|0.0833333
1000000|36|959.735|12.5035|1.04195|0.0833333
1000000|37|990.643|12.1133|1.00945|0.0833333
1000000|38|1008.6|11.8977|0.991472|0.0833333
1000000|39|1043.82|11.4962|0.958016|0.0833333
1000000|40|1010.22|11.8786|0.989883|0.0833333
1000000|41|1044.62|11.4874|0.957282|0.0833333
1000000|42|1035.51|11.5885|0.96571|0.0833333
1000000|43|1040.04|11.538|0.961497|0.0833333
1000000|44|1064.14|11.2767|0.939725|0.0833333
1000000|45|1082.51|11.0853|0.923777|0.0833333
1000000|46|1085.72|11.0526|0.921046|0.0833333
1000000|47|1132.15|10.5993|0.883275|0.0833333
1000000|48|1120.12|10.7131|0.89276|0.0833333
1000000|49|1144.68|10.4833|0.87361|0.0833333
1000000|50|1118.1|10.7325|0.894378|0.0833333
1000000|51|1115.27|10.7598|0.896646|0.0833333
1000000|52|1114.17|10.7704|0.897532|0.0833333
1000000|53|1154.64|10.3928|0.866068|0.0833333
1000000|54|1154.72|10.3921|0.866011|0.0833333
1000000|55|1139.56|10.5304|0.877533|0.0833333
1000000|56|1123.64|10.6796|0.889966|0.0833333
1000000|57|1155.18|10.388|0.865668|0.0833333
1000000|58|1197.4|10.0217|0.835142|0.0833333
1000000|59|1184.35|10.1322|0.844348|0.0833333
1000000|60|1205.44|9.95487|0.829573|0.0833333
1000000|61|1174.47|10.2174|0.851448|0.0833333
1000000|62|1153.13|10.4065|0.867205|0.0833333
1000000|63|1143.67|10.4925|0.874378|0.0833333
1000000|64|1055.04|11.3739|0.947828|0.0833333
1000000|65|1140.7|10.5198|0.876652|0.0833333
1000000|66|1161.82|10.3286|0.86072|0.0833333
1000000|67|1186.92|10.1102|0.842513|0.0833333
1000000|68|1215.91|9.86917|0.822431|0.0833333
1000000|69|1221.89|9.82082|0.818401|0.0833333
1000000|70|1197.53|10.0206|0.835052|0.0833333
1000000|71|1198.43|10.0131|0.834426|0.0833333
1000000|72|1179.32|10.1753|0.847945|0.0833333
1000000|73|1209.22|9.92376|0.82698|0.0833333
1000000|74|1207.31|9.93944|0.828286|0.0833333
1000000|75|1230.15|9.75488|0.812907|0.0833333
1000000|76|1246.56|9.62649|0.802208|0.0833333
1000000|77|1270.98|9.44154|0.786795|0.0833333
1000000|78|1281.98|9.36049|0.780041|0.0833333
1000000|79|1290.92|9.29573|0.774644|0.0833333
1000000|80|1277.37|9.39431|0.782859|0.0833333
1000000|81|1278.53|9.38575|0.782146|0.0833333
1000000|82|1260.05|9.5234|0.793617|0.0833333
1000000|83|1259.54|9.52729|0.793941|0.0833333
1000000|84|1260.57|9.51953|0.793294|0.0833333
1000000|85|1257.1|9.5458|0.795483|0.0833333
1000000|86|1249.86|9.60106|0.800088|0.0833333
1000000|87|1247.24|9.62126|0.801771|0.0833333
1000000|88|1237.44|9.69746|0.808122|0.0833333
1000000|89|1244.31|9.64392|0.80366|0.0833333
1000000|90|1248.94|9.60814|0.800678|0.0833333
1000000|91|1270.79|9.44297|0.786914|0.0833333
1000000|92|1277.11|9.39624|0.78302|0.0833333
1000000|93|1280.11|9.3742|0.781184|0.0833333
1000000|94|1304.86|9.19636|0.766363|0.0833333
1000000|95|1318.49|9.1013|0.758442|0.0833333
1000000|96|1293.53|9.27694|0.773079|0.0833333
1000000|97|1271.76|9.43574|0.786312|0.0833333
1000000|98|1251.74|9.58667|0.79889|0.0833333
1000000|99|1256.77|9.54825|0.795688|0.0833333
10000000|1|1484.25|80.8488|6.7374|0.0833333
10000000|2|1316.36|91.1604|7.5967|0.0833333
10000000|3|1300.79|92.2514|7.68761|0.0833333
10000000|4|1356.04|88.4931|7.37442|0.0833333
10000000|5|1576.21|76.1319|6.34433|0.0833333
10000000|6|1819.69|65.9454|5.49545|0.0833333
10000000|7|2112.54|56.8037|4.73364|0.0833333
10000000|8|2796.12|42.9166|3.57639|0.0833333
10000000|9|4607.56|26.0441|2.17035|0.0833333
10000000|10|5229.81|22.9454|1.91211|0.0833333
10000000|11|5922.47|20.2618|1.68848|0.0833333
10000000|12|6251.53|19.1953|1.59961|0.0833333
10000000|13|6567.91|18.2707|1.52255|0.0833333
10000000|14|6634.96|18.086|1.50717|0.0833333
10000000|15|6787.81|17.6788|1.47323|0.0833333
10000000|16|6716.77|17.8657|1.48881|0.0833333
10000000|17|6953.27|17.2581|1.43817|0.0833333
10000000|18|6962.64|17.2348|1.43624|0.0833333
10000000|19|7127.94|16.8352|1.40293|0.0833333
10000000|20|7127.46|16.8363|1.40302|0.0833333
10000000|21|7346.39|16.3346|1.36121|0.0833333
10000000|22|7362.26|16.2994|1.35828|0.0833333
10000000|23|7649.79|15.6867|1.30723|0.0833333
10000000|24|7374.62|16.272|1.356|0.0833333
10000000|25|7952.26|15.0901|1.2575|0.0833333
10000000|26|7935.84|15.1213|1.26011|0.0833333
10000000|27|8339.85|14.3887|1.19906|0.0833333
10000000|28|8303.03|14.4525|1.20438|0.0833333
10000000|29|8751.11|13.7125|1.14271|0.0833333
10000000|30|8708.3|13.78|1.14833|0.0833333
10000000|31|9203.88|13.038|1.0865|0.0833333
10000000|32|8789.4|13.6528|1.13773|0.0833333
10000000|33|9614.1|12.4817|1.04014|0.0833333
10000000|34|9683.97|12.3916|1.03263|0.0833333
10000000|35|9898.15|12.1235|1.01029|0.0833333
