taille|K|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)|computeIntensity(OPS/Byte)
Ntest = 10 | Mode = 3 | N_thread = 128
1000000|1|208.931|57.4352|4.78627|0.0833333
1000000|2|262.17|45.7719|7.62865|0.166667
1000000|3|280.883|42.7224|10.6806|0.25
1000000|4|324.304|37.0023|12.3341|0.333333
1000000|5|370.938|32.3505|13.4794|0.416667
1000000|6|420.704|28.5236|14.2618|0.5
1000000|7|469.555|25.5561|14.9077|0.583333
1000000|8|508.624|23.5931|15.7287|0.666667
1000000|9|552.96|21.7014|16.276|0.75
1000000|10|597.734|20.0758|16.7298|0.833333
1000000|11|647.395|18.5358|16.9912|0.916667
1000000|12|688.381|17.4322|17.4322|1
1000000|13|733.958|16.3497|17.7122|1.08333
1000000|14|780.387|15.377|17.9398|1.16667
1000000|15|825.834|14.5308|18.1635|1.25
1000000|16|872.762|13.7495|18.3326|1.33333
1000000|17|918.806|13.0604|18.5023|1.41667
1000000|18|965.715|12.426|18.639|1.5
1000000|19|1014.07|11.8335|18.7364|1.58333
1000000|20|1061.25|11.3074|18.8456|1.66667
1000000|21|1111.22|10.799|18.8982|1.75
1000000|22|1192.34|10.0642|18.4511|1.83333
1000000|23|1193.94|10.0508|19.264|1.91667
1000000|24|1241.18|9.66821|19.3364|2
1000000|25|1286.37|9.32857|19.4345|2.08333
1000000|26|1343.43|8.93236|19.3534|2.16667
1000000|27|1379.59|8.69821|19.571|2.25
1000000|28|1425.91|8.41569|19.6366|2.33333
1000000|29|1477.84|8.11998|19.6233|2.41667
1000000|30|1528.04|7.85322|19.6331|2.5
1000000|31|1570.51|7.64084|19.7388|2.58333
1000000|32|1615.02|7.43023|19.8139|2.66667
1000000|33|1675.78|7.16086|19.6924|2.75
1000000|34|1713.47|7.00334|19.8428|2.83333
1000000|35|1761.07|6.81404|19.8743|2.91667
1000000|36|1797.91|6.6744|20.0232|3
1000000|37|1838.55|6.52687|20.1245|3.08333
1000000|38|1883.94|6.36963|20.1705|3.16667
1000000|39|1933.16|6.20747|20.1743|3.25
1000000|40|1976.81|6.07038|20.2346|3.33333
1000000|41|2030.15|5.9109|20.1956|3.41667
1000000|42|2075.12|5.78281|20.2398|3.5
1000000|43|2115.93|5.67128|20.3221|3.58333
1000000|44|2161.87|5.55075|20.3528|3.66667
1000000|45|2212.65|5.42335|20.3376|3.75
1000000|46|2257.71|5.31513|20.3747|3.83333
1000000|47|2303.27|5.20998|20.4057|3.91667
1000000|48|2352.12|5.10178|20.4071|4
1000000|49|2408.73|4.98188|20.3427|4.08333
1000000|50|2447.17|4.90361|20.4317|4.16667
1000000|51|2495.45|4.80876|20.4372|4.25
1000000|52|2539.57|4.7252|20.4759|4.33333
1000000|53|2586.78|4.63897|20.4888|4.41667
1000000|54|2627.59|4.56693|20.5512|4.5
1000000|55|2676.09|4.48416|20.5524|4.58333
1000000|56|2721.33|4.4096|20.5781|4.66667
1000000|57|2775.4|4.3237|20.5376|4.75
1000000|58|2808.69|4.27246|20.6502|4.83333
1000000|59|2864.52|4.18918|20.5968|4.91667
1000000|60|2909.23|4.1248|20.624|5
1000000|61|2951.02|4.06638|20.6708|5.08333
1000000|62|2991.32|4.0116|20.7266|5.16667
1000000|63|3039.48|3.94804|20.7272|5.25
1000000|64|3101.8|3.86872|20.6332|5.33333
1000000|65|3141.22|3.82017|20.6926|5.41667
1000000|66|3188.33|3.76372|20.7005|5.5
1000000|67|3242.11|3.70129|20.6655|5.58333
1000000|68|3281.47|3.6569|20.7224|5.66667
1000000|69|3312.76|3.62236|20.8285|5.75
1000000|70|3368.32|3.56261|20.7819|5.83333
1000000|71|3416.99|3.51186|20.7785|5.91667
1000000|72|3452.44|3.4758|20.8548|6
1000000|73|3499.29|3.42927|20.8614|6.08333
1000000|74|3559.54|3.37122|20.7892|6.16667
1000000|75|3610.31|3.32381|20.7738|6.25
1000000|76|3660.51|3.27823|20.7621|6.33333
1000000|77|3709.58|3.23487|20.7571|6.41667
1000000|78|3751.66|3.19859|20.7908|6.5
1000000|79|3799.8|3.15806|20.7906|6.58333
1000000|80|3831.33|3.13207|20.8805|6.66667
1000000|81|3871.62|3.09948|20.9215|6.75
1000000|82|3915.65|3.06462|20.9416|6.83333
1000000|83|3964.16|3.02712|20.9376|6.91667
1000000|84|4006.64|2.99503|20.9652|7
1000000|85|4055.77|2.95875|20.9578|7.08333
1000000|86|4122.22|2.91105|20.8625|7.16667
1000000|87|4150.06|2.89152|20.9635|7.25
1000000|88|4201.58|2.85607|20.9445|7.33333
1000000|89|4233.13|2.83478|21.0246|7.41667
1000000|90|4280.32|2.80353|21.0265|7.5
1000000|91|4328.17|2.77253|21.025|7.58333
1000000|92|4381.06|2.73906|20.9995|7.66667
1000000|93|4421.87|2.71379|21.0318|7.75
1000000|94|4489.14|2.67312|20.9394|7.83333
1000000|95|4512.87|2.65906|21.0509|7.91667
1000000|96|4559.27|2.632|21.056|8
1000000|97|4605.29|2.6057|21.0627|8.08333
1000000|98|4647.46|2.58206|21.0868|8.16667
1000000|99|4700.11|2.55313|21.0634|8.25
1000000|100|4740.9|2.53116|21.093|8.33333
1000000|101|4784.68|2.50801|21.1091|8.41667
1000000|102|4843.58|2.4775|21.0588|8.5
1000000|103|4878.86|2.45959|21.1115|8.58333
1000000|104|4925.66|2.43622|21.1139|8.66667
1000000|105|4971.18|2.41392|21.1218|8.75
1000000|106|5020.78|2.39007|21.1123|8.83333
1000000|107|5076.64|2.36377|21.0769|8.91667
1000000|108|5108.55|2.349|21.141|9
1000000|109|5155.94|2.32741|21.1407|9.08333
1000000|110|5207.58|2.30433|21.1231|9.16667
