taille|K|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)|computeIntensity(OPS/Byte)
Operator = 2 | Ntest = 10 | Mode = 3 | N_thread = 128
1000000|1|202.083|59.3815|4.94846|0.0833333
1000000|2|241.882|49.611|8.26851|0.166667
1000000|3|285.536|42.0262|10.5066|0.25
1000000|4|327.648|36.6247|12.2082|0.333333
1000000|5|370.992|32.3457|13.4774|0.416667
1000000|6|426.822|28.1147|14.0574|0.5
1000000|7|462.819|25.9281|15.1247|0.583333
1000000|8|513.827|23.3542|15.5694|0.666667
1000000|9|551.475|21.7598|16.3199|0.75
1000000|10|601.005|19.9666|16.6388|0.833333
1000000|11|644.979|18.6053|17.0548|0.916667
1000000|12|686.538|17.479|17.479|1
1000000|13|736.95|16.2833|17.6403|1.08333
1000000|14|779.13|15.4018|17.9688|1.16667
1000000|15|827.322|14.5046|18.1308|1.25
1000000|16|875.466|13.707|18.276|1.33333
1000000|17|919.814|13.0461|18.482|1.41667
1000000|18|961.546|12.4799|18.7199|1.5
1000000|19|1009.06|11.8923|18.8295|1.58333
1000000|20|1055.39|11.3703|18.9504|1.66667
1000000|21|1108.01|10.8302|18.9529|1.75
1000000|22|1142.66|10.5018|19.2533|1.83333
1000000|23|1190.22|10.0821|19.3241|1.91667
1000000|24|1234.95|9.71696|19.4339|2
1000000|25|1281.2|9.3662|19.5129|2.08333
1000000|26|1326.17|9.04862|19.6053|2.16667
1000000|27|1371.23|8.7513|19.6904|2.25
1000000|28|1417.57|8.46516|19.752|2.33333
1000000|29|1462.6|8.20456|19.8277|2.41667
1000000|30|1510.34|7.94525|19.8631|2.5
1000000|31|1556.66|7.70882|19.9144|2.58333
1000000|32|1600.04|7.49979|19.9994|2.66667
1000000|33|1642.37|7.30649|20.0929|2.75
1000000|34|1690.23|7.09962|20.1156|2.83333
1000000|35|1734.28|6.91932|20.1813|2.91667
1000000|36|1780.74|6.73876|20.2163|3
1000000|37|1828.59|6.56243|20.2341|3.08333
1000000|38|1874.95|6.40017|20.2672|3.16667
1000000|39|1921.01|6.24672|20.3018|3.25
1000000|40|1965.24|6.10612|20.3537|3.33333
1000000|41|2010.62|5.96832|20.3917|3.41667
1000000|42|2056.7|5.83459|20.4211|3.5
1000000|43|2108|5.69259|20.3985|3.58333
1000000|44|2150.42|5.5803|20.4611|3.66667
1000000|45|2213.14|5.42215|20.3331|3.75
1000000|46|2237.99|5.36196|20.5542|3.83333
1000000|47|2291.37|5.23704|20.5117|3.91667
1000000|48|2340.75|5.12657|20.5063|4
1000000|49|2378.87|5.0444|20.598|4.08333
1000000|50|2432.62|4.93296|20.554|4.16667
1000000|51|2472.64|4.85312|20.6258|4.25
1000000|52|2516.61|4.76831|20.6627|4.33333
1000000|53|2574.4|4.66129|20.5873|4.41667
1000000|54|2618.62|4.58257|20.6216|4.5
1000000|55|2659.3|4.51246|20.6821|4.58333
1000000|56|2705|4.43623|20.7024|4.66667
1000000|57|2752.12|4.36027|20.7113|4.75
1000000|58|2795.35|4.29284|20.7487|4.83333
1000000|59|2845.08|4.21781|20.7375|4.91667
1000000|60|2880.09|4.16653|20.8327|5
1000000|61|2935.59|4.08776|20.7795|5.08333
1000000|62|2986|4.01875|20.7636|5.16667
1000000|63|3024.54|3.96754|20.8296|5.25
1000000|64|3077.23|3.89961|20.7979|5.33333
1000000|65|3111.87|3.85621|20.8878|5.41667
1000000|66|3157.18|3.80086|20.9047|5.5
1000000|67|3207.24|3.74154|20.8903|5.58333
1000000|68|3245.87|3.697|20.9497|5.66667
1000000|69|3306.53|3.62918|20.8678|5.75
1000000|70|3350.46|3.58159|20.8926|5.83333
1000000|71|3381.74|3.54847|20.9951|5.91667
1000000|72|3435.25|3.49319|20.9592|6
1000000|73|3481.71|3.44659|20.9667|6.08333
1000000|74|3538.36|3.3914|20.9137|6.16667
1000000|75|3582.36|3.34975|20.9359|6.25
1000000|76|3632.84|3.3032|20.9202|6.33333
1000000|77|3667.41|3.27207|20.9958|6.41667
1000000|78|3719.51|3.22623|20.9705|6.5
1000000|79|3755.08|3.19567|21.0382|6.58333
1000000|80|3802.86|3.15552|21.0368|6.66667
1000000|81|3840.21|3.12483|21.0926|6.75
1000000|82|3887.21|3.08705|21.0948|6.83333
1000000|83|3934.99|3.04956|21.0928|6.91667
1000000|84|3986.08|3.01048|21.0734|7
1000000|85|4027.4|2.97959|21.1054|7.08333
1000000|86|4078.74|2.94209|21.0849|7.16667
1000000|87|4118.36|2.91378|21.1249|7.25
1000000|88|4162.86|2.88263|21.1393|7.33333
1000000|89|4203.52|2.85475|21.1727|7.41667
1000000|90|4251.07|2.82282|21.1711|7.5
1000000|91|4303.76|2.78826|21.1443|7.58333
1000000|92|4340.82|2.76446|21.1942|7.66667
1000000|93|4387.16|2.73526|21.1982|7.75
1000000|94|4432.43|2.70732|21.2073|7.83333
