taille|temps_cpu|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)|computeIntensity(OPS/Byte)
Operator = 2 | Ntest = 10 | Mode = 1 | N_thread = 128
10|0|24.6784|0.00486255|0.000405213|0.0833333
20|0|29.1456|0.00823452|0.00068621|0.0833333
30|0|23.136|0.0155602|0.00129668|0.0833333
40|0|22.2144|0.0216076|0.00180063|0.0833333
50|0|22.5088|0.0266562|0.00222135|0.0833333
60|0|21.7952|0.0330348|0.0027529|0.0833333
70|0|25.8688|0.0324715|0.00270596|0.0833333
80|0|23.2416|0.0413052|0.0034421|0.0833333
90|0|23.0272|0.0469011|0.00390842|0.0833333
100|0|21.6992|0.0553016|0.00460846|0.0833333
200|0|21.392|0.112191|0.00934929|0.0833333
300|0|23.0176|0.156402|0.0130335|0.0833333
400|0.1|22.3872|0.214408|0.0178674|0.0833333
500|0.3|23.0208|0.260634|0.0217195|0.0833333
600|0.7|20.2432|0.355675|0.0296396|0.0833333
700|0.9|26.7104|0.314484|0.026207|0.0833333
800|1|21.8848|0.438661|0.0365551|0.0833333
900|1|22.5152|0.479676|0.039973|0.0833333
1000|1|30.368|0.395153|0.0329294|0.0833333
2000|2|22.992|1.04384|0.0869868|0.0833333
3000|3|26.8|1.34328|0.11194|0.0833333
4000|4|21.5552|2.22684|0.18557|0.0833333
5000|5|22.512|2.66525|0.222104|0.0833333
6000|6|19.3536|3.72024|0.31002|0.0833333
7000|6.9|21.9904|3.81985|0.318321|0.0833333
8000|7.6|21.6192|4.4405|0.370041|0.0833333
9000|8.7|19.7632|5.4647|0.455392|0.0833333
10000|9.8|21.8112|5.50176|0.45848|0.0833333
20000|19.4|35.5424|6.7525|0.562708|0.0833333
30000|28.2|49.392|7.28863|0.607386|0.0833333
40000|38.7|37.1008|12.9377|1.07814|0.0833333
50000|48.2|41.4048|14.4911|1.20759|0.0833333
60000|57.3|43.3888|16.5941|1.38285|0.0833333
70000|67.5|47.7696|17.5844|1.46537|0.0833333
80000|75.8|47.0368|20.4096|1.7008|0.0833333
90000|88.4|44.1376|24.4689|2.03908|0.0833333
100000|96.2|46.1568|25.9983|2.16653|0.0833333
200000|195.9|60.3456|39.7709|3.31424|0.0833333
300000|293.9|67.4784|53.3504|4.44587|0.0833333
400000|392.1|97.0752|49.4462|4.12052|0.0833333
500000|521|99.5392|60.2778|5.02315|0.0833333
600000|616.4|119.766|60.117|5.00975|0.0833333
700000|692.8|131.434|63.9106|5.32588|0.0833333
800000|807|137.101|70.0215|5.83512|0.0833333
900000|932.4|146.957|73.491|6.12425|0.0833333
1000000|1076.7|169.101|70.9636|5.91363|0.0833333
2000000|2007.6|288.406|83.2159|6.93466|0.0833333
3000000|3099.1|413.75|87.009|7.25075|0.0833333
4000000|4092.1|537.837|89.2464|7.4372|0.0833333
5000000|5248.9|661.226|90.7406|7.56172|0.0833333
6000000|6474.5|803.255|89.6354|7.46961|0.0833333
7000000|7189|921.254|91.18|7.59833|0.0833333
8000000|8304.9|1060.04|90.5628|7.5469|0.0833333
9000000|9373.7|1178.17|91.6674|7.63895|0.0833333
10000000|11249.5|1293.67|92.7593|7.72994|0.0833333
20000000|24091.1|2559.91|93.7532|7.81276|0.0833333
30000000|34346.4|3820.33|94.2327|7.85273|0.0833333
40000000|50165.7|5078.93|94.508|7.87567|0.0833333
50000000|64447.4|5980.68|100.323|8.36026|0.0833333
60000000|78794.7|6393.94|112.607|9.38388|0.0833333
70000000|92891.2|6753.28|124.384|10.3653|0.0833333
80000000|150955|7946.49|120.808|10.0673|0.0833333
