taille|temps_cpu|temps_gpu|memoryThroughput(GB/s)|computationThroughput(GOPS/s)
Ntest = 10 | Mode = 1 | J = 1 | K = 1 | N_thread = 128
10|1.4|157.322|0.000762769|6.35641e-05
20|1.9|203.174|0.00118125|9.84376e-05
30|1.7|102.694|0.00350555|0.000292129
40|2|160.781|0.00298543|0.000248786
50|1.4|140.918|0.00425778|0.000354815
60|1.4|113.76|0.00632912|0.000527426
70|1.7|83.2288|0.0100927|0.000841055
80|1.8|111.718|0.00859303|0.000716086
90|2.1|155.536|0.00694373|0.000578644
100|2.1|115.085|0.0104271|0.000868925
200|3.2|116.934|0.0205243|0.00171036
300|4.6|106.419|0.0338285|0.00281904
400|5.5|146.31|0.032807|0.00273391
500|6.1|112.131|0.0535087|0.00445906
600|6.8|86.1984|0.0835282|0.00696069
700|8.5|107.219|0.0783442|0.00652868
800|9|127.885|0.0750676|0.00625563
900|12.6|109.168|0.0989301|0.00824417
1000|11.7|127.469|0.0941407|0.00784506
2000|21|115.776|0.207297|0.0172747
3000|26.6|94.7008|0.380145|0.0316787
4000|33.6|106.883|0.449088|0.037424
5000|36.3|117.869|0.509041|0.04242
6000|53.3|121.533|0.592433|0.0493694
7000|53.2|57.216|1.46812|0.122343
8000|66.8|70.9856|1.35239|0.112699
9000|80.7|84.5856|1.27681|0.106401
10000|89.6|84.6624|1.41739|0.118116
20000|160.5|136.573|1.7573|0.146442
30000|287.2|88.384|4.07314|0.339428
40000|342.1|74.6208|6.43252|0.536044
50000|925.4|161.206|3.72194|0.310161
60000|738.4|134.989|5.33378|0.444481
70000|550.5|88.3072|9.51225|0.792687
80000|602.5|67.3728|14.2491|1.18742
90000|677.9|74.6112|14.475|1.20625
100000|903.5|88.0352|13.6309|1.13591
200000|1578.4|172.224|13.9353|1.16128
300000|2797.7|160.323|22.4546|1.87122
400000|3644|123.885|38.7457|3.22881
500000|5528.7|200.413|29.9382|2.49485
600000|5703.6|136.874|52.6033|4.38361
700000|7142|205.059|40.9638|3.41365
800000|10259.2|239.616|40.0641|3.33868
900000|10228|189.968|56.8517|4.73764
1000000|12560.8|212.272|56.5312|4.71094
2000000|23646.7|460.192|52.1521|4.34601
3000000|32924.8|528.989|68.0544|5.6712
4000000|34084.6|626.285|76.6424|6.38687
5000000|60141.2|761.29|78.8136|6.5678
6000000|54622|883.709|81.4748|6.78957
7000000|79365.7|1050.56|79.9571|6.66309
8000000|124109|1234.76|77.748|6.479
9000000|147862|1634.51|66.0748|5.50623
10000000|155448|1486.99|80.6998|6.72499
20000000|265521|2667.4|89.9753|7.49794
30000000|439074|3956.7|90.9848|7.58207
40000000|388006|5486.04|87.4948|7.29123
50000000|512270|6629.68|90.5021|7.54184
60000000|805459|7665.13|93.9318|7.82765
70000000|1.0666e+06|10416.8|80.639|6.71991
80000000|1.25331e+06|10220.8|93.9265|7.82721
